"","municipio","seccion","casilla","tipo_casilla","padron_electoral","listado_nominal","clasificacion","estrato"
"138","2. MEXICALI","02_0428","URBANA","B1",503,503,"indefinidos","2. MEXICALI URBANA indefinidos"
"139","2. MEXICALI","02_0428","URBANA","C1",503,503,"indefinidos","2. MEXICALI URBANA indefinidos"
"140","2. MEXICALI","02_0429","URBANA","B1",470,467,"indefinidos","2. MEXICALI URBANA indefinidos"
"141","2. MEXICALI","02_0429","URBANA","C1",469,467,"indefinidos","2. MEXICALI URBANA indefinidos"
"142","2. MEXICALI","02_0430","URBANA","B1",463,463,"panistas","2. MEXICALI URBANA panistas"
"143","2. MEXICALI","02_0430","URBANA","C1",462,462,"panistas","2. MEXICALI URBANA panistas"
"144","2. MEXICALI","02_0431","URBANA","B1",440,440,"panistas","2. MEXICALI URBANA panistas"
"145","2. MEXICALI","02_0431","URBANA","C1",440,440,"panistas","2. MEXICALI URBANA panistas"
"146","2. MEXICALI","02_0432","URBANA","B1",586,584,"indefinidos","2. MEXICALI URBANA indefinidos"
"147","2. MEXICALI","02_0432","URBANA","C1",585,584,"indefinidos","2. MEXICALI URBANA indefinidos"
"148","2. MEXICALI","02_0433","URBANA","B1",478,475,"indefinidos","2. MEXICALI URBANA indefinidos"
"149","2. MEXICALI","02_0433","URBANA","C1",478,475,"indefinidos","2. MEXICALI URBANA indefinidos"
"150","2. MEXICALI","02_0434","URBANA","B1",560,559,"panistas","2. MEXICALI URBANA panistas"
"151","2. MEXICALI","02_0434","URBANA","C1",559,558,"panistas","2. MEXICALI URBANA panistas"
"152","2. MEXICALI","02_0435","URBANA","B1",707,705,"indefinidos","2. MEXICALI URBANA indefinidos"
"153","2. MEXICALI","02_0435","URBANA","C1",707,705,"indefinidos","2. MEXICALI URBANA indefinidos"
"154","2. MEXICALI","02_0436","URBANA","B1",630,629,"indefinidos","2. MEXICALI URBANA indefinidos"
"155","2. MEXICALI","02_0436","URBANA","C1",629,628,"indefinidos","2. MEXICALI URBANA indefinidos"
"156","2. MEXICALI","02_0437","URBANA","B1",606,606,"indefinidos","2. MEXICALI URBANA indefinidos"
"157","2. MEXICALI","02_0438","URBANA","B1",602,601,"panistas","2. MEXICALI URBANA panistas"
"158","2. MEXICALI","02_0438","URBANA","C1",602,601,"panistas","2. MEXICALI URBANA panistas"
"159","2. MEXICALI","02_0439","URBANA","B1",586,584,"indefinidos","2. MEXICALI URBANA indefinidos"
